


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
                 1    0.5000000000     2.7604542960
                 2    0.4999389648     2.7604563563
                 3    0.4998779297     2.7604584088
                 4    0.4998168945     2.7604604690
                 5    0.4997558594     2.7604625309
                 6    0.4996948242     2.7604645943
                 7    0.4996337891     2.7604666593
                 8    0.4995727539     2.7604687259
                 9    0.4995117188     2.7604707941
                10    0.4994506836     2.7604728639
                11    0.4993896484     2.7604749352
                12    0.4993286133     2.7604770082
                13    0.4992675781     2.7604790827
                14    0.4992065430     2.7604811588
                15    0.4991455078     2.7604832366
                16    0.4990844727     2.7604853159
                17    0.4990234375     2.7604873968
                18    0.4989624023     2.7604894793
                19    0.4989013672     2.7604915634
                20    0.4988403320     2.7604936491
                21    0.4987792969     2.7604957364
                22    0.4987182617     2.7604978254
                23    0.4986572266     2.7604999159
                24    0.4985961914     2.7605020080
                25    0.4985351562     2.7605041017
                26    0.4984741211     2.7605061971
                27    0.4984130859     2.7605082940
                28    0.4983520508     2.7605103926
                29    0.4982910156     2.7605124927
                30    0.4982299805     2.7605145945
                31    0.4981689453     2.7605166979
                32    0.4981079102     2.7605188029
                33    0.4980468750     2.7605209095
                34    0.4979858398     2.7605230177
                35    0.4979248047     2.7605251276
                36    0.4978637695     2.7605272390
                37    0.4978027344     2.7605293521
                38    0.4977416992     2.7605314668
                39    0.4976806641     2.7605335832
                40    0.4976196289     2.7605357011
                41    0.4975585938     2.7605378207
                42    0.4974975586     2.7605399419
                43    0.4974365234     2.7605420648
                44    0.4973754883     2.7605441893
                45    0.4973144531     2.7605463154
                46    0.4972534180     2.7605484431
                47    0.4971923828     2.7605505725
                48    0.4971313477     2.7605527035
                49    0.4970703125     2.7605548361
                50    0.4970092773     2.7605569704
                51    0.4969482422     2.7605591063
                52    0.4968872070     2.7605612438
                53    0.4968261719     2.7605633830
                54    0.4967651367     2.7605655239
                55    0.4967041016     2.7605676663
                56    0.4966430664     2.7605698105
                57    0.4965820312     2.7605719562
                58    0.4965209961     2.7605741037
                59    0.4964599609     2.7605762527
                60    0.4963989258     2.7605784034
                61    0.4963378906     2.7605805558
                62    0.4962768555     2.7605827098
                63    0.4962158203     2.7605848655
                64    0.4961547852     2.7605870228
                65    0.4960937500     2.7605891818
                66    0.4960327148     2.7605913424
                67    0.4959716797     2.7605935047
                68    0.4959106445     2.7605956687
                69    0.4958496094     2.7605978343
                70    0.4957885742     2.7606000016
                71    0.4957275391     2.7606021705
                72    0.4956665039     2.7606043411
                73    0.4956054688     2.7606065134
                74    0.4955444336     2.7606086874
                75    0.4954833984     2.7606108630
                76    0.4954223633     2.7606130403
                77    0.4953613281     2.7606152192
                78    0.4953002930     2.7606173998
                79    0.4952392578     2.7606195822
                80    0.4951782227     2.7606217661
                81    0.4951171875     2.7606239518
                82    0.4950561523     2.7606261391
                83    0.4949951172     2.7606283281
                84    0.4949340820     2.7606305188
                85    0.4948730469     2.7606327112
                86    0.4948120117     2.7606349052
                87    0.4947509766     2.7606371010
