


                  RAYLEIGH WAVE      MODE #  0

                           FREQ          PHASE VEL
                 1    0.5000000000     2.3036292296
                 2    0.4990234375     2.3037192138
                 3    0.4980468750     2.3038097301
                 4    0.4970703125     2.3039007376
                 5    0.4960937500     2.3039922512
                 6    0.4951171875     2.3040842737
                 7    0.4941406250     2.3041768076
                 8    0.4931640625     2.3042698557
                 9    0.4921875000     2.3043634206
                10    0.4912109375     2.3044575049
                11    0.4902343750     2.3045521115
                12    0.4892578125     2.3046472429
                13    0.4882812500     2.3047429019
                14    0.4873046875     2.3048390914
                15    0.4863281250     2.3049358140
                16    0.4853515625     2.3050330725
                17    0.4843750000     2.3051308697
                18    0.4833984375     2.3052292085
                19    0.4824218750     2.3053280917
                20    0.4814453125     2.3054275221
                21    0.4804687500     2.3055275027
                22    0.4794921875     2.3056280362
                23    0.4785156250     2.3057291257
                24    0.4775390625     2.3058307740
                25    0.4765625000     2.3059329841
                26    0.4755859375     2.3060357590
                27    0.4746093750     2.3061391017
                28    0.4736328125     2.3062430151
                29    0.4726562500     2.3063475023
                30    0.4716796875     2.3064525663
                31    0.4707031250     2.3065582103
                32    0.4697265625     2.3066644373
                33    0.4687500000     2.3067712505
                34    0.4677734375     2.3068786529
                35    0.4667968750     2.3069866478
                36    0.4658203125     2.3070952382
                37    0.4648437500     2.3072044276
                38    0.4638671875     2.3073142190
                39    0.4628906250     2.3074246157
                40    0.4619140625     2.3075356211
                41    0.4609375000     2.3076472383
                42    0.4599609375     2.3077594709
                43    0.4589843750     2.3078723220
                44    0.4580078125     2.3079857952
                45    0.4570312500     2.3080998938
                46    0.4560546875     2.3082146213
                47    0.4550781250     2.3083299811
                48    0.4541015625     2.3084459767
                49    0.4531250000     2.3085626117
                50    0.4521484375     2.3086798896
                51    0.4511718750     2.3087978141
                52    0.4501953125     2.3089163887
                53    0.4492187500     2.3090356171
                54    0.4482421875     2.3091555029
                55    0.4472656250     2.3092760500
                56    0.4462890625     2.3093972619
                57    0.4453125000     2.3095191426
                58    0.4443359375     2.3096416959
                59    0.4433593750     2.3097649255
                60    0.4423828125     2.3098888354
                61    0.4414062500     2.3100134296
                62    0.4404296875     2.3101387119
                63    0.4394531250     2.3102646863
                64    0.4384765625     2.3103913570
                65    0.4375000000     2.3105187280
                66    0.4365234375     2.3106468034
                67    0.4355468750     2.3107755873
                68    0.4345703125     2.3109050841
                69    0.4335937500     2.3110352978
                70    0.4326171875     2.3111662328
                71    0.4316406250     2.3112978935
                72    0.4306640625     2.3114302843
                73    0.4296875000     2.3115634094
                74    0.4287109375     2.3116972735
                75    0.4277343750     2.3118318810
                76    0.4267578125     2.3119672365
                77    0.4257812500     2.3121033446
                78    0.4248046875     2.3122402100
                79    0.4238281250     2.3123778375
                80    0.4228515625     2.3125162317
                81    0.4218750000     2.3126553975
                82    0.4208984375     2.3127953399
                83    0.4199218750     2.3129360637
                84    0.4189453125     2.3130775739
                85    0.4179687500     2.3132198757
                86    0.4169921875     2.3133629741
                87    0.4160156250     2.3135068742
